anio,periodo,dimension,categoria_raw,categoria,conteo,porcentaje,total_anual
2020,semestral,vinculo_agresor,víctima (9),victima_(9),,6.0,69
2021,semestral,autoria,Privados (30),privados_(30),,57.0,53
2021,semestral,identidad_victima,Gays,gay_cis,6.0,76.0,53
2021,semestral,identidad_victima,Varones trans (5),mujer_trans,,76.0,53
2021,semestral,lugar_fisico,Comisaria / Penal,comisaria_penal,,6.0,53
2021,semestral,lugar_fisico,Vivienda de la persona agresora,vivienda_agresor,,36.0,53
2021,semestral,modalidad,Ahogo (1),ahogo,,2.0,53
2021,semestral,modalidad,Corte/s,corte,4.0,15.0,53
2021,semestral,modalidad,Asfixia (2),estrangulamiento,,6.0,53
2021,semestral,modalidad,Fuego / calcinamiento,fuego_calcinamiento,1.0,2.0,53
2021,semestral,modalidad,Lesiones autoinflingidas (4),lesiones_autoinflingidas_(4),,8.0,53
2021,semestral,modalidad,Privación ilegítima de la libertad,privacion_ilegitima_de_la_libertad,2.0,5.0,53
2021,semestral,modalidad,Puñalada/s (3),puñalada,,6.0,53
2021,semestral,provincia,Chaco,Chaco,,7.55,53
2021,semestral,provincia,Corrientes,Corrientes,,5.66,53
2021,semestral,provincia,Jujuy,Jujuy,,7.55,53
2021,semestral,provincia,Misiones,Misiones,,1.89,53
2021,semestral,provincia,Neuquén,Neuquén,,3.77,53
2021,semestral,provincia,Tierra del Fuego,Tierra del Fuego,,1.89,53
2021,semestral,provincia,Tucumán,Tucumán,,5.66,53
2021,semestral,provincia,Capital Federal,capital_federal,,7.55,53
2021,semestral,tipo_violacion,"EN LOS CRÍMENES DE ODIO
34% Derecho a la vida",derecho_a_la_vida,35.0,66.0,53
2021,semestral,tipo_violacion,Derecho a la integridad física,integridad_fisica,,66.0,53
2021,semestral,vinculo_agresor,Cliente (3),cliente_(3),,10.0,53
2021,semestral,vinculo_agresor,Cliente,cliente_trabajo_sexual,3.0,13.0,53
2021,semestral,vinculo_agresor,Novie - Pareja (3),pareja_noviazgo,,13.0,53
2021,semestral,vinculo_agresor,Si misme,si_misme,4.0,7.0,53
2021,semestral,vinculo_agresor,víctima (4),victima_(4),,37.0,53
2022,anual,autoria,"son llevados a cabo por el Estado y, dentro de este porcentaj",estado,,61.0,129
2022,anual,autoria,soncometidosporpersonasprivadas,soncometidosporpersonasprivadas,,30.0,129
2022,anual,identidad_victima,los varones gays cis,gay_cis,15.0,12.0,129
2022,anual,identidad_victima,mujeres trans,mujer_trans,108.0,84.0,129
2022,anual,lugar_fisico,a establecimientos públicos,establecimiento_publico,,7.0,129
2022,anual,lugar_fisico,en otra vivienda,otra_vivienda,,7.0,129
2022,anual,lugar_fisico,ocurrieron en Rutas/caminos,ruta,,2.0,129
2022,anual,lugar_fisico,en viviendas compartidas,vivienda_compartida,,2.0,129
2022,anual,modalidad,"loscasosdeestrangulamiento,ahorcamientoy/oasfixia",estrangulamiento,,3.1,129
2022,anual,modalidad,"cada uno, los casos de corte/s y de fuego /",fuego_calcinamiento,,1.5,129
2022,anual,modalidad,los golpes como modalidad,golpes,,25.0,129
2022,anual,modalidad,losde,losde,,3.1,129
2022,anual,provincia,Córdoba,Córdoba,,3.1,129
2022,anual,provincia,Santa Fe,Santa Fe,,5.4,129
2022,anual,provincia,Tucumán,Tucumán,,6.2,129
2022,anual,provincia,"la provinciade Santiago
del Estero","la_provinciade_santiago
del_estero",,10.1,129
2022,anual,rango_etario,20-29,20-29,,12.5,129
2022,anual,rango_etario,30-39,30-39,,21.25,129
2022,anual,rango_etario,50-59,50-59,,5.0,129
2022,anual,tipo_muerte,de los casos son asesinatos y el,asesinato,,20.0,129
2022,anual,tipo_muerte,restante son casos de muertes por violencia estructural,muerte_estructural,,80.0,129
2022,anual,tipo_violacion,deloscasos(89)correspondena,deloscasos(89)correspondena,,69.0,129
2023,anual,autoria,son llevados a cabo por el Estado,estado,,71.0,133
2023,anual,autoria,son cometidos por personas,son_cometidos_por_personas,,26.0,133
2023,anual,identidad_victima,los varones gays cis,gay_cis,7.0,5.0,133
2023,anual,identidad_victima,Lesbianas,lesbiana,2.0,1.5,133
2023,anual,identidad_victima,mujeres trans,mujer_trans,118.0,89.0,133
2023,anual,identidad_victima,Personas No binarias,no_binarie,3.0,2.26,133
2023,anual,identidad_victima,Varones trans,varón_trans,3.0,5.26,133
2023,anual,lugar_fisico,Establecimiento privado de,establecimiento_privado,,6.0,133
2023,anual,lugar_fisico,Ruta / Camino,ruta,,24.0,133
2023,anual,lugar_fisico,"de los casos, se encuentran los vehículos y por",vehiculo,,4.0,133
2023,anual,lugar_fisico,Vivienda de la víctima,vivienda_victima,,24.0,133
2023,anual,provincia,Catamarca,Catamarca,,4.4,133
2023,anual,provincia,"Córdoba
Salta",Córdoba,,4.4,133
2023,anual,provincia,"La Rioja
Mendoza
Entre Ríos",Entre Ríos,,4.4,133
2023,anual,provincia,"San Juan
Jujuy",Jujuy,,17.6,133
2023,anual,provincia,Neuquén,Neuquén,,2.9,133
2023,anual,provincia,Río Negro,Río Negro,,1.5,133
2023,anual,provincia,San Luis,San Luis,,1.5,133
2023,anual,provincia,Santa Cruz,Santa Cruz,,32.4,133
2023,anual,provincia,Santa Fe,Santa Fe,,2.9,133
2023,anual,provincia,Santiago del Estero,Santiago del Estero,,1.5,133
2023,anual,provincia,"de crímenes de odio se encuentra la provincia de
Tucumán",Tucumán,,8.8,133
2023,anual,rango_etario,20-29,20-29,,13.73,133
2023,anual,rango_etario,30-39,30-39,,27.45,133
2023,anual,rango_etario,40-49,40-49,,21.57,133
2023,anual,rango_etario,50-59,50-59,,5.88,133
2023,anual,rango_etario,60-69,60-69,,1.96,133
2023,anual,rango_etario,70-79,70-79,,27.45,133
2024,anual,autoria,son llevados a cabo por el Estado,estado,,46.0,140
2024,anual,autoria,son cometidos por personas,son_cometidos_por_personas,,52.0,140
2024,anual,identidad_victima,los varones gays cis,gay_cis,32.0,23.0,140
2024,anual,identidad_victima,las personas no,las_personas_no,,1.0,140
2024,anual,identidad_victima,las víctimas son lesbianas,lesbiana,11.0,8.0,140
2024,anual,identidad_victima,mujeres trans,mujer_trans,90.0,64.0,140
2024,anual,identidad_victima,Personas no binarias (2),no_binarie,,8.0,140
2024,anual,identidad_victima,Varones trans,varón_trans,5.0,1.0,140
2024,anual,lugar_fisico,Comisaría / Penal,comisaria_penal,,35.0,140
2024,anual,lugar_fisico,Descampado / Terreno baldío /,descampado,,1.0,140
2024,anual,lugar_fisico,Establecimiento privado,establecimiento_privado,,24.0,140
2024,anual,lugar_fisico,Otra vivienda,otra_vivienda,,5.0,140
2024,anual,lugar_fisico,Vivienda compartida,vivienda_compartida,,18.0,140
2024,anual,provincia,Catamarca,Catamarca,,47.1,140
2024,anual,provincia,Chubut,Chubut,,1.4,140
2024,anual,provincia,Córdoba,Córdoba,,0.8,140
2024,anual,provincia,Entre Ríos,Entre Ríos,,28.6,140
2024,anual,provincia,"de crímenes de odio se
encuentra la provincia de Jujuy",Jujuy,,4.3,140
2024,anual,provincia,San Juan,San Juan,,2.9,140
2024,anual,rango_etario,10-19,10-19,,32.2,140
2024,anual,rango_etario,20-29,20-29,,3.39,140
2024,anual,rango_etario,30-39,30-39,,32.2,140
2024,anual,rango_etario,40-49,40-49,,18.64,140
2024,anual,rango_etario,50-59,50-59,,16.95,140
2024,anual,rango_etario,60-69,60-69,,1.7,140
2025,anual,autoria,B3n_penal,b3n_penal,,3.0,227
2025,anual,identidad_victima,Lesbianas,lesbiana,13.0,62.56,227
2025,anual,identidad_victima,Mujeres trans (142),mujer_trans,,7.93,227
2025,anual,identidad_victima,Personas no binarias (4),no_binarie,,62.56,227
2025,anual,identidad_victima,Varones trans,varón_trans,18.0,22.03,227
2025,anual,lugar_fisico,Comisaría / Penal,comisaria_penal,,1.29,227
2025,anual,lugar_fisico,Establecimiento privado de acceso público,establecimiento_privado,,32.26,227
2025,anual,lugar_fisico,respecto del año,respecto_del_ano,,60.0,227
2025,anual,lugar_fisico,Vía pública,via_publica,,5.16,227
2025,anual,lugar_fisico,Vivienda compartida,vivienda_compartida,,20.0,227
2025,anual,lugar_fisico,Vivienda de la víctima,vivienda_victima,,7.1,227
2025,anual,provincia,Buenos Aires,Buenos Aires,,0.45,227
2025,anual,provincia,Catamarca,Catamarca,,4.04,227
2025,anual,provincia,Chaco,Chaco,,43.5,227
2025,anual,provincia,Chubut,Chubut,,26.91,227
2025,anual,provincia,Corrientes,Corrientes,,2.24,227
2025,anual,provincia,Córdoba,Córdoba,,0.9,227
2025,anual,provincia,Entre Ríos,Entre Ríos,,2.69,227
2025,anual,provincia,Mendoza,Mendoza,,4.48,227
2025,anual,provincia,Neuquén,Neuquén,,0.45,227
2025,anual,provincia,Salta,Salta,,1.79,227
2025,anual,provincia,Santa Fe,Santa Fe,,0.45,227
2025,anual,provincia,Santiago del Estero,Santiago del Estero,,1.79,227
2025,anual,provincia,Tucuman,Tucumán,,1.79,227
2025,anual,provincia,Capital Federal,capital_federal,,0.9,227
2025,anual,rango_etario,10-19,10-19,,0.99,227
2025,anual,rango_etario,20-29,20-29,,32.67,227
2025,anual,rango_etario,30-39,30-39,,20.79,227
2025,anual,rango_etario,40-49,40-49,,12.87,227
2025,anual,rango_etario,50-59,50-59,,5.94,227
2025,anual,rango_etario,60-69,60-69,,2.97,227
